FIPS,Gini Index
1001,0.4499
1003,0.4572
1005,0.5046
1007,0.4532
1009,0.4562
1011,0.5159
1013,0.4712
1015,0.4567
1017,0.4146
1019,0.4702
1021,0.4416
1023,0.4775
1025,0.5146
1027,0.4907
1029,0.4887
1031,0.43
1033,0.437
1035,0.4253
1037,0.4242
1039,0.4809
1041,0.5312
1043,0.4314
1045,0.4466
1047,0.4638
1049,0.4769
1051,0.4229
1053,0.4648
1055,0.4549
1057,0.4661
1059,0.4307
1061,0.4399
1063,0.4747
1065,0.4892
1067,0.4597
1069,0.4819
1071,0.4529
1073,0.5021
1075,0.4337
1077,0.4618
1079,0.4254
1081,0.5093
1083,0.4326
1085,0.5104
1087,0.4982
1089,0.4629
1091,0.5298
1093,0.4431
1095,0.4645
1097,0.4674
1099,0.504
1101,0.4933
1103,0.4523
1105,0.4539
1107,0.4633
1109,0.5323
1111,0.4817
1113,0.4744
1115,0.4086
1117,0.4445
1119,0.4807
1121,0.461
1123,0.4684
1125,0.4612
1127,0.4544
1129,0.5133
1131,0.4696
1133,0.4638
2013,0.3956
2016,0.3457
2020,0.4274
2050,0.4568
2060,0.4012
2063,0.3776
2066,0.4203
2068,0.3697
2070,0.4222
2090,0.4241
2100,0.4273
2105,0.4448
2110,0.4054
2122,0.4543
2130,0.4317
2150,0.3955
2158,0.4371
2164,0.4207
2170,0.4252
2180,0.435
2185,0.4072
2188,0.4313
2195,0.4275
2198,0.4322
2220,0.3778
2230,0.3576
2240,0.4322
2275,0.4152
2282,0.2949
2290,0.4752
4001,0.5055
4003,0.4353
4005,0.4768
4007,0.4455
4009,0.4065
4011,0.3685
4012,0.4708
4013,0.4572
4015,0.4512
4017,0.4534
4019,0.4652
4021,0.422
4023,0.4774
4025,0.4434
4027,0.4585
5001,0.4544
5003,0.5146
5005,0.4738
5007,0.4603
5009,0.4348
5011,0.4686
5013,0.393
5015,0.4577
5017,0.5581
5019,0.4574
5021,0.4363
5023,0.4561
5025,0.4575
5027,0.5483
5029,0.4813
5031,0.4846
5033,0.4414
5035,0.4582
5037,0.4611
5039,0.4594
5041,0.4587
5043,0.4775
5045,0.4596
5047,0.4484
5049,0.433
5051,0.4617
5053,0.4581
5055,0.4169
5057,0.4458
5059,0.4246
5061,0.4572
5063,0.4552
5065,0.4734
5067,0.4648
5069,0.469
5071,0.4676
5073,0.4486
5075,0.4497
5077,0.5806
5079,0.4555
5081,0.4299
5083,0.4251
5085,0.4268
5087,0.4553
5089,0.4402
5091,0.4767
5093,0.4777
5095,0.4724
5097,0.4524
5099,0.4106
5101,0.4067
5103,0.4307
5105,0.4264
5107,0.5011
5109,0.4687
5111,0.4535
5113,0.4931
5115,0.4768
5117,0.4325
5119,0.5105
5121,0.4604
5123,0.5133
5125,0.4063
5127,0.4198
5129,0.4351
5131,0.497
5133,0.4774
5135,0.4366
5137,0.4551
5139,0.4907
5141,0.4232
5143,0.4829
5145,0.4674
5147,0.4945
5149,0.4224
6001,0.4633
6003,0.4288
6005,0.4539
6007,0.4885
6009,0.4326
6011,0.4689
6013,0.468
6015,0.4438
6017,0.4727
6019,0.4737
6021,0.426
6023,0.4853
6025,0.4578
6027,0.4423
6029,0.4649
6031,0.4105
6033,0.5021
6035,0.4034
6037,0.4969
6039,0.4388
6041,0.5095
6043,0.4369
6045,0.4682
6047,0.4639
6049,0.4089
6051,0.3915
6053,0.4525
6055,0.477
6057,0.4745
6059,0.4662
6061,0.4396
6063,0.4648
6065,0.4524
6067,0.4456
6069,0.4076
6071,0.439
6073,0.4615
6075,0.5118
6077,0.4463
6079,0.451
6081,0.4889
6083,0.4841
6085,0.4674
6087,0.4721
6089,0.4659
6091,0.4544
6093,0.465
6095,0.4173
6097,0.4541
6099,0.4397
6101,0.4563
6103,0.5145
6105,0.4947
6107,0.4586
6109,0.4501
6111,0.4479
6113,0.4918
6115,0.432
8001,0.4026
8003,0.4791
8005,0.455
8007,0.4345
8009,0.4857
8011,0.4275
8013,0.4835
8014,0.4085
8015,0.4289
8017,0.4176
8019,0.4465
8021,0.4338
8023,0.4869
8025,0.4483
8027,0.4118
8029,0.4773
8031,0.4857
8033,0.4099
8035,0.3965
8037,0.4932
8039,0.4093
8041,0.4324
8043,0.4774
8045,0.3968
8047,0.4889
8049,0.4248
8051,0.4328
8053,0.4404
8055,0.4305
